Data Inicio,Mês,Ano,Atividade,Tipo de atividade,Detalhamento,Categoria,N° de participantes participantes,Modalidade,ESTADO,Participantes_limpo,Data_inicio
11/01/2025,janeiro ,2025,Ação interna,Treinamento,Treinamento da nova diretoria Gestão 2025,CREA,15,Presencial,Sergipe,15.0,2025-01-11
18/01/2025,janeiro ,2025,Ação interna,Treinamento,Treinamento da nova Comissão do CREA Gestão 2025,CREA,15,Presencial,Sergipe,15.0,2025-01-18
28/01/2025,janeiro ,2025,Participação,Evento,Presença no 14° Encontro de Lideres.,CONFEA,5.000,Presencial,Sergipe,5.0,2025-01-28
10/02/2025,fevereiro ,2025,Ação interna,Processo seletivo,Processo Seletivo para os membros assessores da gestão 2025,CREA Jr,15,Hibrido,Sergipe,15.0,2025-02-10
27/02/2025,fevereiro ,2025,Ação interna,Treinamento,Treinamento para os membros assessores da gestão 2025,CREA Jr,15,Online,Sergipe,15.0,2025-02-27
10/03/2025,março ,2025,Participação,Palestras,Palestras para os Associados e Estudantes de Agronomia no Sertão juntamente com a UFS e Associação dos engenheiros do Sertão,Entidades de classe,30,Presencial,Sergipe,30.0,2025-03-10
14/03/2025,março ,2025,Participação,Ciclo de Palestras,"Ciclo De Palestras em Estância para os estudantes de engenharia Civil, juntamente com o CAEC",CREA,30,Presencial,Sergipe,30.0,2025-03-14
19/03/2025,março ,2025,Ação interna,Minicurso,Minicurso para os membros assessores da gestão 2025,Parceria,25,Online,Sergipe,25.0,2025-03-19
27/03/2025,março ,2025,Ação externa,Palestras,Palestras para os Associados e Estudantes de Agronomia no Sertão juntamente com a UFS e Associação dos engenheiros do Sertão,Entidades de classe,25,Presencial,Sergipe,25.0,2025-03-27
05/04/2025,abril ,2025,Ação interna,Capacitação,Capacitação para os membros assessores da gestão 2025,Parceria,50,Online,Sergipe,50.0,2025-04-05
14/04/2025,abril ,2025,Ação externa,Ciclo de Palestras,Ciclo De Palestras em Laranjeiras para os estudantes de Engenharia e Arquitetura da UFS,IES,30,Presencial,Sergipe,30.0,2025-04-14
23/04/2025,abril ,2025,Participação,Evento,Participação do Evento de Engenharia juntamente com a MUTUA SE,Mútua,500,Presencial,Sergipe,500.0,2025-04-23
29/04/2025,abril ,2025,Participação,Evento,Participação do Evento de Engenharia Mecanica juntamente com a MUTUA SE,Mútua,200,Presencial,Sergipe,200.0,2025-04-29
10/05/2025,maio ,2025,Ação interna,Treinamento,Treinamento para os membros assessores da gestão 2025,IES,50,Presencial,Sergipe,50.0,2025-05-10
13/05/2025,maio ,2025,Ação externa,Semana de engenharia,Semana De Engenharia dos estudantes do IFS,IES,100,Presencial,Sergipe,100.0,2025-05-13
21/05/2025,maio ,2025,Ação externa,Palestras,Palestras em Lagarto para os estudantes de Engenharia de Lagarto,IES,30,Presencial,Sergipe,30.0,2025-05-21
14/06/2025,junho ,2025,Ação externa,Desenvolvimento interno,Desenvolvimento Interno para os membros assessores da gestão 2025 | ARRAIA DO CREA Jr,CREA Jr,15,Presencial,Sergipe,15.0,2025-06-14
14/06/2025,junho ,2025,Ação interna,Evento,Evento para os membros assessores da gestão 2025 juntamente com a AEASE | Forro Agro,Entidades de classe,200,Presencial,Sergipe,200.0,2025-06-14
17/06/2025,junho ,2025,Participação,Evento,Participação do Evento de Engenharia juntamente com a MUTUA SE,Mútua,150,Presencial,Sergipe,150.0,2025-06-17
26/05/2027,maio ,2027,Participação,Evento,Participação do Evento de Engenharia juntamente com a MUTUA SE,Mútua,150,Presencial,Sergipe,150.0,2027-05-26
13/01/2025,janeiro ,2025,Participação,Plenaria,1ºPlenária extraordiária do Crea e posse do CREAJR,CREA,9,Presencial,Rio Grande do Norte,9.0,2025-01-13
17/02/2025,fevereiro ,2025,Participação,Plenaria,2º Plenária do CREA,CREA,2,Hibrido,Rio Grande do Norte,2.0,2025-02-17
27/01/2025,janeiro ,2025,Ação interna,Reunião,1º Reunião extraordinária do CREA JR RN,CREA Jr,8,Online,Rio Grande do Norte,8.0,2025-01-27
28/01/2025,janeiro ,2025,Participação,Ciclo de Palestras,14º Encontro de lideres,CONFEA,1,Presencial,Rio Grande do Norte,1.0,2025-01-28
29/01/2025,janeiro ,2025,Participação,Parceria,"Representando o Crea Jr - RN , participou do stand do CAEC na EXPOTEC 2025 no IFRN, promovendo a conexão entre estudantes e o sistema profissional. Junto ao CREA-RN, reforçamos a importância da valorização da engenharia, agronomia e geociências.",CREA Jr,2,Presencial,Rio Grande do Norte,2.0,2025-01-29
29/01/2025,janeiro ,2025,Participação,Ciclo de Palestras,Presença no ciclo de palestras do NUTEC empresa JN da UFRN de engenharia química,Parceria,1,Presencial,Rio Grande do Norte,1.0,2025-01-29
31/01/2025,janeiro ,2025,Participação,Ciclo de Palestras,Cilcos de palestras sobre empreededorismo em comemoração ao dia do engenheiro ambiental promovido pela APEA/RN,Mútua,3,Presencial,Rio Grande do Norte,3.0,2025-01-31
05/02/2025,fevereiro ,2025,Participação,Reunião,1º Reuniao com os conselheiros do CREA RN,CREA,3,Hibrido,Rio Grande do Norte,3.0,2025-02-05
11/02/2025,fevereiro ,2025,Ação interna,Reunião,1º REUNIÃO ÓRDINARIA DO NÚCLEO NATAL CREA JR-RN,CREA Jr,3,Online,Rio Grande do Norte,3.0,2025-02-11
